GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,H003001,H003001.2000,H003002,H003002.2000,H003003,H003003.2000
47001,050,47,001,28940,314,,,Anderson County,75129,34717,71330,32451,34717,32451,31253,29780,3464,2671
47003,050,47,003,43180,999,,,Bedford County,45058,18360,37586,14990,18360,14990,16530,13905,1830,1085
47005,050,47,005,99999,999,,,Benton County,16489,8975,16537,8595,8975,8595,7063,6863,1912,1732
47007,050,47,007,99999,999,,,Bledsoe County,12876,5718,12367,5142,5718,5142,4697,4430,1021,712
47009,050,47,009,28940,314,,,Blount County,123010,55266,105823,47059,55266,47059,49265,42667,6001,4392
47011,050,47,011,17420,174,,,Bradley County,98963,41395,87965,36820,41395,36820,37947,34281,3448,2539
47013,050,47,013,29220,314,,,Campbell County,40716,19966,39854,18527,19966,18527,16354,16125,3612,2402
47015,050,47,015,34980,400,,,Cannon County,13801,6037,12826,5420,6037,5420,5472,4998,565,422
47017,050,47,017,99999,999,,,Carroll County,28522,13184,29475,13057,13184,13057,11507,11779,1677,1278
47019,050,47,019,27740,304,,,Carter County,57424,27746,56742,25920,27746,25920,24197,23486,3549,2434
47021,050,47,021,34980,400,,,Cheatham County,39105,15663,35912,13508,15663,13508,14520,12878,1143,630
47023,050,47,023,27180,297,,,Chester County,17131,6980,15540,6178,6980,6178,6208,5660,772,518
47025,050,47,025,99999,999,,,Claiborne County,32213,14859,29862,13262,14859,13262,12853,11799,2006,1463
47027,050,47,027,99999,999,,,Clay County,7861,4282,7976,3959,4282,3959,3358,3379,924,580
47029,050,47,029,35460,314,,,Cocke County,35662,17459,33565,15844,17459,15844,14788,13762,2671,2082
47031,050,47,031,46100,999,,,Coffee County,52796,23434,48014,20746,23434,20746,20926,18885,2508,1861
47033,050,47,033,99999,999,,,Crockett County,14586,6425,14532,6138,6425,6138,5709,5632,716,506
47035,050,47,035,18900,999,,,Cumberland County,56053,28151,46802,22442,28151,22442,23791,19508,4360,2934
47037,050,47,037,34980,400,,,Davidson County,626681,283978,569891,252977,283978,252977,259499,237405,24479,15572
47039,050,47,039,99999,999,,,Decatur County,11757,6873,11731,6448,6873,6448,4927,4908,1946,1540
47041,050,47,041,99999,999,,,DeKalb County,18723,9405,17423,8409,9405,8409,7420,6984,1985,1425
47043,050,47,043,34980,400,,,Dickson County,49666,20820,43156,17614,20820,17614,19107,16473,1713,1141
47045,050,47,045,20540,999,,,Dyer County,38335,16703,37279,16123,16703,16123,15183,14751,1520,1372
47047,050,47,047,32820,999,,,Fayette County,38413,15669,28806,11214,15669,11214,14505,10467,1164,747
47049,050,47,049,99999,999,,,Fentress County,17959,8961,16625,7598,8961,7598,7250,6693,1711,905
47051,050,47,051,46100,999,,,Franklin County,41052,18697,39270,16813,18697,16813,16011,15003,2686,1810
47053,050,47,053,26480,297,,,Gibson County,49683,21999,48152,21059,21999,21059,19690,19518,2309,1541
47055,050,47,055,99999,999,,,Giles County,29485,13844,29447,13113,13844,13113,11875,11713,1969,1400
47057,050,47,057,34100,314,,,Grainger County,22657,10894,20659,9732,10894,9732,9029,8270,1865,1462
47059,050,47,059,24620,999,,,Greene County,68831,32025,62909,28116,32025,28116,28018,25756,4007,2360
47061,050,47,061,99999,999,,,Grundy County,13703,6397,14332,6282,6397,6282,5405,5562,992,720
47063,050,47,063,34100,314,,,Hamblen County,62544,26963,58128,24693,26963,24693,24560,23211,2403,1482
47065,050,47,065,16860,174,,,Hamilton County,336463,151107,307896,134692,151107,134692,136682,124444,14425,10248
47067,050,47,067,99999,999,,,Hancock County,6819,3624,6786,3280,3624,3280,2825,2769,799,511
47069,050,47,069,99999,999,,,Hardeman County,27253,10851,28105,10694,10851,10694,9301,9412,1550,1282
47071,050,47,071,99999,999,,,Hardin County,26026,13946,25578,12807,13946,12807,10643,10426,3303,2381
47073,050,47,073,28700,304,,,Hawkins County,56833,26870,53563,24416,26870,24416,23343,21936,3527,2480
47075,050,47,075,15140,999,,,Haywood County,18787,8315,19797,8086,8315,8086,7459,7558,856,528
47077,050,47,077,99999,999,,,Henderson County,27769,12776,25522,11446,12776,11446,11224,10306,1552,1140
47079,050,47,079,37540,999,,,Henry County,32330,17054,31115,15783,17054,15783,13604,13019,3450,2764
47081,050,47,081,34980,400,,,Hickman County,24690,10311,22295,8904,10311,8904,8976,8081,1335,823
47083,050,47,083,99999,999,,,Houston County,8426,4188,8088,3901,4188,3901,3349,3216,839,685
47085,050,47,085,99999,999,,,Humphreys County,18538,8865,17929,8482,8865,8482,7454,7238,1411,1244
47087,050,47,087,18260,999,,,Jackson County,11638,5843,10984,5163,5843,5163,4789,4466,1054,697
47089,050,47,089,34100,314,,,Jefferson County,51407,23499,44294,19319,23499,19319,19864,17155,3635,2164
47091,050,47,091,99999,999,,,Johnson County,18244,8956,17499,7879,8956,7879,7195,6827,1761,1052
47093,050,47,093,28940,314,,,Knox County,432226,194949,382032,171439,194949,171439,177249,157872,17700,13567
47095,050,47,095,99999,999,,,Lake County,7832,2598,7954,2716,2598,2716,2270,2410,328,306
47097,050,47,097,99999,999,,,Lauderdale County,27815,11256,27101,10563,11256,10563,9795,9567,1461,996
47099,050,47,099,29980,999,,,Lawrence County,41869,18177,39926,16821,18177,16821,16275,15480,1902,1341
47101,050,47,101,99999,999,,,Lewis County,12161,5470,11367,4821,5470,4821,4781,4381,689,440
47103,050,47,103,99999,999,,,Lincoln County,33361,15241,31340,13999,15241,13999,13382,12503,1859,1496
47105,050,47,105,28940,314,,,Loudon County,48556,21725,39086,17277,21725,17277,19826,15944,1899,1333
47107,050,47,107,11940,174,,,McMinn County,52266,23341,49015,21626,23341,21626,20865,19721,2476,1905
47109,050,47,109,99999,999,,,McNairy County,26075,11933,24653,11219,11933,11219,10326,9980,1607,1239
47111,050,47,111,34980,400,,,Macon County,22248,9861,20386,8894,9861,8894,8561,7916,1300,978
47113,050,47,113,27180,297,,,Madison County,98294,41877,91837,38205,41877,38205,38073,35552,3804,2653
47115,050,47,115,16860,174,,,Marion County,28237,12954,27776,12140,12954,12140,11403,11037,1551,1103
47117,050,47,117,30280,999,,,Marshall County,30617,13119,26767,11181,13119,11181,11850,10307,1269,874
47119,050,47,119,17940,400,,,Maury County,80956,35254,69498,28674,35254,28674,31663,26444,3591,2230
47121,050,47,121,99999,999,,,Meigs County,11753,5628,11086,5188,5628,5188,4686,4304,942,884
47123,050,47,123,99999,999,,,Monroe County,44519,20787,38961,17287,20787,17287,17711,15329,3076,1958
47125,050,47,125,17300,999,,,Montgomery County,172331,70098,134768,52167,70098,52167,63673,48330,6425,3837
47127,050,47,127,46100,999,,,Moore County,6362,2915,5740,2515,2915,2515,2492,2211,423,304
47129,050,47,129,99999,999,,,Morgan County,21987,8920,19757,7714,8920,7714,7692,6990,1228,724
47131,050,47,131,46460,542,,,Obion County,31807,14659,32450,14489,14659,14489,13077,13182,1582,1307
47133,050,47,133,18260,999,,,Overton County,22083,10295,20118,9168,10295,9168,8820,8110,1475,1058
47135,050,47,135,99999,999,,,Perry County,7915,4599,7631,4115,4599,4115,3160,3023,1439,1092
47137,050,47,137,99999,999,,,Pickett County,5077,3462,4945,2956,3462,2956,2177,2091,1285,865
47139,050,47,139,17420,174,,,Polk County,16825,7991,16050,7369,7991,7369,6653,6448,1338,921
47141,050,47,141,18260,999,,,Putnam County,72321,31882,62315,26916,31882,26916,28930,24865,2952,2051
47143,050,47,143,99999,999,,,Rhea County,31809,14365,28400,12565,14365,12565,12276,11184,2089,1381
47145,050,47,145,25340,314,,,Roane County,54181,25716,51910,23369,25716,23369,22376,21200,3340,2169
47147,050,47,147,34980,400,,,Robertson County,66283,26086,54433,20995,26086,20995,24197,19906,1889,1089
47149,050,47,149,34980,400,,,Rutherford County,262604,102968,182023,70616,102968,70616,96232,66443,6736,4173
47151,050,47,151,99999,999,,,Scott County,22228,9910,21127,8909,9910,8909,8671,8203,1239,706
47153,050,47,153,16860,174,,,Sequatchie County,14112,6368,11370,4916,6368,4916,5519,4463,849,453
47155,050,47,155,42940,314,,,Sevier County,89889,55918,71170,37252,55918,37252,35343,28467,20575,8785
47157,050,47,157,32820,999,,,Shelby County,927644,398274,897472,362954,398274,362954,350971,338366,47303,24588
47159,050,47,159,34980,400,,,Smith County,19166,8529,17712,7665,8529,7665,7410,6878,1119,787
47161,050,47,161,17300,999,,,Stewart County,13324,6778,12370,5977,6778,5977,5386,4930,1392,1047
47163,050,47,163,28700,304,,,Sullivan County,156823,73760,153048,69052,73760,69052,66298,63556,7462,5496
47165,050,47,165,34980,400,,,Sumner County,160645,65968,130449,51657,65968,51657,60975,48941,4993,2716
47167,050,47,167,32820,999,,,Tipton County,61081,23199,51271,19064,23199,19064,21617,18106,1582,958
47169,050,47,169,34980,400,,,Trousdale County,7870,3368,7259,3095,3368,3095,2976,2780,392,315
47171,050,47,171,27740,304,,,Unicoi County,18313,8830,17667,8214,8830,8214,7726,7516,1104,698
47173,050,47,173,28940,314,,,Union County,19109,8958,17808,7916,8958,7916,7391,6742,1567,1174
47175,050,47,175,99999,999,,,Van Buren County,5548,2663,5508,2453,2663,2453,2246,2180,417,273
47177,050,47,177,32660,999,,,Warren County,39839,17821,38276,16689,17821,16689,15850,15181,1971,1508
47179,050,47,179,27740,304,,,Washington County,122979,57254,107198,47779,57254,47779,51322,44195,5932,3584
47181,050,47,181,99999,999,,,Wayne County,17021,7287,16842,6701,7287,6701,6136,5936,1151,765
47183,050,47,183,32280,542,,,Weakley County,35021,15495,34895,14928,15495,14928,13898,13599,1597,1329
47185,050,47,185,99999,999,,,White County,25841,11511,23102,10191,11511,10191,10272,9229,1239,962
47187,050,47,187,34980,400,,,Williamson County,183182,68498,126638,47005,68498,47005,64886,44725,3612,2280
47189,050,47,189,34980,400,,,Wilson County,113993,45568,88809,34921,45568,34921,42563,32798,3005,2123
